,test-output-False_additional-info-False,test-output-False_additional-info-MC-LARC,test-output-True_additional-info-False,test-output-True_additional-info-MC-LARC
1,0.3,0.6,0.4,0.6
2,0.3,0.6,0.3,0.5
3,0.3,0.6,0.3,0.6
4,0.3,0.6,0.2,0.6
5,0.3,0.5,0.2,0.6
6,0.3,0.5,0.3,0.6
7,0.2,0.6,0.3,0.6
8,0.3,0.6,0.2,0.4
9,0.3,0.4,0.3,0.6
10,0.3,0.5,0.3,0.6
Mean,0.2899999999999999,0.55,0.27999999999999997,0.5700000000000001
Lower Bound,-0.006457874091937654,0.2249707705451709,-0.013345939123077022,0.24655050883741786
Upper Bound,0.5864578740919375,0.8750292294548292,0.573345939123077,0.8934494911625823
Variance,0.022877777777777775,0.0275,0.022399999999999996,0.02723333333333333
Standard Deviation,0.1512540173938457,0.16583123951776998,0.14966629547095764,0.16502525059315418
