user_id,test_type,problem,problem_id,dsl,full_dsl,steps,correct,output,mistake,object_incompleteness,dsl_incompleteness,memo
E,exercise,0,,"['move_down', 'move_down', 'horizontal_line', 'horizontal_line', 'horizontal_line', 'rotate_right_obj', 'rotate_right_obj', 'rotate_right_obj', 'rotate_right_obj', 'rotate_right_obj']","['move_down(self.temp_state, object3)', 'move_down(self.temp_state, object3)', 'horizontal_line(self.temp_state, [], -1)', 'horizontal_line(self.temp_state, [], -1)', 'horizontal_line(self.temp_state, [], -1)', 'rotate_right_obj(self.temp_state, object4)', 'rotate_right_obj(self.temp_state, object4)', 'rotate_right_obj(self.temp_state, object4)', 'rotate_right_obj(self.temp_state, object4)', 'rotate_right_obj(self.temp_state, object4)']",10,FALSE,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [2, 2, 2, 2, 0, 0, 3, 3, 3, 0], [0, 0, 0, 2, 0, 0, 0, 0, 0, 0], [0, 0, 2, 2, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 2, 2, 0, 0, 0, 0], [0, 0, 0, 0, 2, 2, 0, 0, 0, 0], [0, 0, 0, 3, 2, 2, 0, 0, 0, 0], [0, 3, 3, 3, 3, 0, 0, 0, 0, 0], [0, 0, 0, 3, 0, 0, 0, 0, 0, 0]]",FALSE,FALSE,FALSE,
E,exercise,1,,"['rotate_right_obj', 'flip_horizontal', 'flip_horizontal', 'flip_horizontal', 'flip_horizontal', 'flip_horizontal', 'flip_horizontal', 'flip_horizontal', 'flip_horizontal', 'flip_horizontal']","['rotate_right_obj(self.temp_state, None)', 'horizontal_flip(temp_state)', 'horizontal_flip(temp_state)', 'horizontal_flip(temp_state)', 'horizontal_flip(temp_state)', 'horizontal_flip(temp_state)', 'horizontal_flip(temp_state)', 'horizontal_flip(temp_state)', 'horizontal_flip(temp_state)', 'horizontal_flip(temp_state)']",10,FALSE,"[[0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 8, 0, 0, 2, 0, 0, 8, 0, 0, 2, 0, 0], [0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 8, 0, 0, 2, 2, 2, 8, 2, 2, 2, 0, 0], [0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 8, 0, 0, 0, 2, 0, 8, 0, 2, 0, 0, 0], [8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8], [0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 8, 0, 2, 0, 0, 0], [0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 8, 2, 2, 2, 0, 0], [0, 0, 0, 0, 0, 8, 0, 1, 1, 0, 0, 8, 0, 0, 0, 0, 0, 8, 0, 0, 2, 0, 0], [0, 0, 0, 0, 0, 8, 1, 0, 1, 0, 0, 8, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 8, 0, 1, 0, 0, 0, 8, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0], [8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8], [0, 0, 0, 1, 0, 8, 0, 1, 0, 0, 0, 8, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0], [0, 0, 1, 0, 1, 8, 1, 0, 1, 0, 0, 8, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0], [0, 0, 1, 1, 0, 8, 0, 1, 1, 0, 0, 8, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 8, 0, 0, 4, 4, 4, 8, 4, 4, 4, 0, 0], [0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 8, 0, 0, 0, 4, 0, 8, 0, 4, 0, 0, 0], [8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8], [0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 8, 0, 0, 0, 4, 0, 8, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 8, 0, 0, 4, 4, 4, 8, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0], [8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8], [0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0]]",FALSE,FALSE,TRUE,
E,exercise,2,,"['flip_horizontal', 'vertical_line', 'vertical_line', 'vertical_line', 'vertical_line', 'vertical_line', 'vertical_line', 'vertical_line', 'horizontal_line', 'pixel_color']","['horizontal_flip(temp_state)', 'vertical_line(self.temp_state, [(8, 4), (8, 15)], -1)', 'vertical_line(self.temp_state, [(8, 4), (8, 15)], 3)', 'vertical_line(self.temp_state, [(8, 4), (8, 15)], 3)', 'vertical_line(self.temp_state, [(8, 4), (8, 15)], 3)', 'vertical_line(self.temp_state, [(8, 4), (8, 15)], 3)', 'vertical_line(self.temp_state, [(8, 4), (8, 15)], 3)', 'vertical_line(self.temp_state, [(8, 4), (8, 15)], 3)', 'horizontal_line(self.temp_state, [(8, 4), (8, 15)], 3)', 'pixel_color([(9, 6)], 3)']",10,FALSE,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 0], [0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]",FALSE,FALSE,FALSE,
E,exercise,3,,['complete'],['complete(self.temp_state)'],1,FALSE,"[[0, 0, 0, 0, 0, 8, 8, 0, 0], [0, 0, 0, 0, 0, 8, 0, 8, 0], [0, 0, 0, 0, 0, 8, 8, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [4, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 4, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0]]",FALSE,FALSE,TRUE,
E,exercise,4,,['complete'],['complete(self.temp_state)'],1,FALSE,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 8, 8, 3, 8, 8, 8, 3, 8, 3, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 8, 3, 3, 3, 8, 8, 8, 3, 3, 3, 0, 0, 8, 8, 8, 8, 8, 8, 3, 3, 8, 8], [0, 8, 8, 3, 8, 8, 8, 8, 8, 3, 8, 0, 0, 3, 8, 8, 3, 8, 8, 8, 8, 8, 8], [0, 8, 3, 8, 8, 8, 3, 8, 3, 8, 8, 0, 0, 8, 8, 3, 3, 3, 8, 8, 8, 3, 8], [0, 8, 8, 8, 8, 3, 3, 3, 8, 8, 3, 0, 0, 8, 8, 8, 3, 8, 8, 8, 8, 8, 8], [0, 3, 3, 8, 8, 8, 3, 8, 8, 8, 8, 0, 0, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8], [0, 8, 8, 8, 8, 8, 8, 8, 8, 3, 8, 0, 0, 8, 8, 8, 3, 8, 8, 3, 8, 8, 8], [0, 3, 8, 8, 3, 8, 8, 8, 3, 8, 8, 0, 0, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 3, 8, 8, 8, 8, 8, 8, 3, 8], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [3, 8, 8, 8, 8, 8, 3, 8, 8, 8, 0, 0, 3, 3, 8, 8, 3, 8, 8, 8, 3, 8, 0], [8, 8, 3, 8, 8, 3, 3, 3, 8, 8, 0, 0, 8, 8, 8, 3, 3, 3, 8, 8, 8, 3, 0], [8, 3, 3, 3, 8, 8, 3, 8, 3, 8, 0, 0, 3, 8, 8, 8, 3, 8, 8, 8, 8, 8, 0], [8, 8, 3, 8, 8, 8, 8, 3, 3, 3, 0, 0, 8, 3, 8, 8, 8, 8, 8, 3, 8, 8, 0], [8, 8, 8, 8, 3, 8, 8, 8, 3, 8, 0, 0, 3, 3, 3, 8, 8, 8, 3, 3, 3, 8, 0], [8, 3, 8, 3, 3, 3, 8, 8, 8, 8, 0, 0, 8, 3, 8, 3, 8, 8, 8, 3, 8, 8, 0], [3, 3, 3, 8, 3, 8, 8, 8, 8, 3, 0, 0, 8, 8, 3, 3, 3, 8, 8, 8, 8, 8, 0], [8, 3, 8, 8, 8, 8, 8, 3, 8, 8, 0, 0, 8, 8, 8, 3, 8, 8, 8, 3, 8, 3, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]",FALSE,FALSE,FALSE,
E,main,0,00d62c1b.json,"['horizontal_line', 'horizontal_line', 'pixel_color', 'pixel_color', 'pixel_color', 'horizontal_line', 'vertical_line', 'vertical_line', 'vertical_line', 'horizontal_line']","['horizontal_line(self.temp_state, [(4, 4), (4, 9)], 4)', 'horizontal_line(self.temp_state, [(4, 9), (4, 12)], 4)', 'pixel_color([(2, 2)], 4)', 'pixel_color([(14, 2)], 4)', 'pixel_color([(12, 8)], 4)', 'horizontal_line(self.temp_state, [(10, 9), (10, 13)], 4)', 'vertical_line(self.temp_state, [(6, 14), (12, 14)], 4)', 'vertical_line(self.temp_state, [(6, 15), (12, 15)], 4)', 'vertical_line(self.temp_state, [(6, 16), (12, 16)], 4)', 'horizontal_line(self.temp_state, [(16, 7), (16, 11)], 4)']",10,FALSE,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 3, 4, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 3, 0, 3, 3, 3, 3, 3, 0, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 3, 4, 4, 4, 4, 3, 4, 4, 3, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 3, 3, 3, 3, 3, 0, 3, 3, 3, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 3, 3, 3, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 4, 4, 3, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 4, 4, 3, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 3, 3, 3, 4, 4, 4, 3, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 4, 4, 3, 4, 4, 4, 3, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 3, 3, 3, 3, 4, 4, 4, 3, 0, 0], [0, 0, 0, 0, 0, 0, 3, 3, 4, 3, 0, 0, 0, 3, 3, 3, 3, 3, 0, 0], [0, 0, 3, 0, 0, 0, 0, 0, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 3, 4, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 3, 0, 3, 0, 3, 3, 3, 3, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 3, 4, 4, 4, 3, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 3, 3, 3, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]",FALSE,TRUE,TRUE,
E,main,1,025d127b.json,"['move_right', 'pixel_color', 'pixel_color', 'complete']","['move_right(self.temp_state, object1)', 'pixel_color([(5, 4)], 4)', 'pixel_color([(4, 9)], 4)', 'complete(self.temp_state)']",4,TRUE,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 4, 4, 4, 4, 4, 4, 0, 0], [0, 0, 4, 0, 0, 0, 0, 0, 4, 0], [0, 0, 0, 4, 0, 0, 0, 0, 0, 4], [0, 0, 0, 0, 4, 0, 0, 0, 0, 4], [0, 0, 0, 0, 4, 4, 4, 4, 4, 4], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]",FALSE,FALSE,FALSE,
E,main,2,045e512c.json,"['pixel_color', 'pixel_color', 'pixel_color', 'pixel_color', 'pixel_color', 'pixel_color', 'pixel_color', 'pixel_color', 'pixel_color', 'pixel_color']","['pixel_color([(7, 11)], 2)', 'pixel_color([(7, 12)], 2)', 'pixel_color([(8, 12)], 2)', 'pixel_color([(9, 12)], 2)', 'pixel_color([(12, 6)], 3)', 'pixel_color([(12, 8)], 3)', 'pixel_color([(13, 6)], 3)', 'pixel_color([(13, 8)], 3)', 'pixel_color([(3, 10)], 4)', 'pixel_color([(3, 11)], 4)']",10,FALSE,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 8, 8, 8, 0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 8, 0, 8, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 8, 0, 8, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 3, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 3, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 3, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]",FALSE,FALSE,TRUE,
E,main,3,05269061.json,"['diagonal_line', 'diagonal_line', 'diagonal_line', 'diagonal_line', 'diagonal_line', 'diagonal_line', 'diagonal_line', 'diagonal_line', 'pixel_color', 'pixel_color']","['diagonal_line(self.temp_state, [(2, 0), (0, 2)], 4)', 'diagonal_line(self.temp_state, [(3, 0), (0, 3)], 2)', 'diagonal_line(self.temp_state, [(4, 0), (0, 4)], 1)', 'diagonal_line(self.temp_state, [(5, 0), (0, 5)], 4)', 'diagonal_line(self.temp_state, [(6, 1), (1, 6)], 1)', 'diagonal_line(self.temp_state, [(6, 2), (2, 6)], 4)', 'diagonal_line(self.temp_state, [(6, 3), (3, 6)], 2)', 'diagonal_line(self.temp_state, [(6, 4), (4, 6)], 1)', 'pixel_color([(6, 4)], 1)', 'pixel_color([(4, 6)], 1)']",10,FALSE,"[[0, 1, 0, 0, 0, 0, 2], [1, 4, 2, 1, 4, 2, 0], [0, 2, 1, 4, 2, 1, 0], [0, 1, 4, 2, 1, 4, 0], [0, 4, 2, 1, 4, 2, 1], [0, 2, 1, 4, 2, 1, 4], [2, 0, 0, 0, 1, 4, 0]]",FALSE,FALSE,TRUE,
E,main,4,05f2a901.json,"['move_left', 'move_left', 'complete']","['move_left(self.temp_state, object1)', 'move_left(self.temp_state, object1)', 'complete(self.temp_state)']",3,TRUE,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 2, 0, 0, 0, 0, 0, 0], [0, 0, 0, 2, 2, 0, 0, 0, 0, 0], [0, 8, 8, 2, 2, 0, 0, 0, 0, 0], [0, 8, 8, 0, 2, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]",FALSE,FALSE,FALSE,
