user_id,problem,problem_id,dsl,full_dsl,step,correct,output,excluding_complete_step,excluding_complete_full_dsl
E,1,025d127b.json,"['move_right', 'pixel_color', 'pixel_color', 'complete']","['move_right(self.temp_state, object1)', 'pixel_color([(5, 4)], 4)', 'pixel_color([(4, 9)], 4)', 'complete(self.temp_state)']",4,True,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 4, 4, 4, 4, 4, 4, 0, 0], [0, 0, 4, 0, 0, 0, 0, 0, 4, 0], [0, 0, 0, 4, 0, 0, 0, 0, 0, 4], [0, 0, 0, 0, 4, 0, 0, 0, 0, 4], [0, 0, 0, 0, 4, 4, 4, 4, 4, 4], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]",3,"['move_right(self.temp_state, object1)', 'pixel_color([(5, 4)], 4)', 'pixel_color([(4, 9)], 4)']"
E,4,05f2a901.json,"['move_left', 'move_left', 'complete']","['move_left(self.temp_state, object1)', 'move_left(self.temp_state, object1)', 'complete(self.temp_state)']",3,True,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 2, 0, 0, 0, 0, 0, 0], [0, 0, 0, 2, 2, 0, 0, 0, 0, 0], [0, 8, 8, 2, 2, 0, 0, 0, 0, 0], [0, 8, 8, 0, 2, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]",2,"['move_left(self.temp_state, object1)', 'move_left(self.temp_state, object1)']"
E,6,08ed6ac7.json,"['obj_color', 'obj_color', 'obj_color', 'obj_color', 'complete']","['obj_color(self.temp_state, object1, 1)', 'obj_color(self.temp_state, object2, 2)', 'obj_color(self.temp_state, object3, 3)', 'obj_color(self.temp_state, object4, 4)', 'complete(self.temp_state)']",5,True,"[[0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 2, 0, 0, 0], [0, 1, 0, 0, 0, 2, 0, 0, 0], [0, 1, 0, 0, 0, 2, 0, 3, 0], [0, 1, 0, 0, 0, 2, 0, 3, 0], [0, 1, 0, 4, 0, 2, 0, 3, 0], [0, 1, 0, 4, 0, 2, 0, 3, 0], [0, 1, 0, 4, 0, 2, 0, 3, 0]]",4,"['obj_color(self.temp_state, object1, 1)', 'obj_color(self.temp_state, object2, 2)', 'obj_color(self.temp_state, object3, 3)', 'obj_color(self.temp_state, object4, 4)']"
E,10,0ca9ddb6.json,"['pixel_color', 'pixel_color', 'pixel_color', 'pixel_color', 'pixel_color', 'pixel_color', 'pixel_color', 'pixel_color', 'diagonal_line', 'diagonal_line']","['pixel_color([(2, 1)], 4)', 'pixel_color([(4, 1)], 4)', 'pixel_color([(4, 3)], 4)', 'pixel_color([(2, 3)], 4)', 'pixel_color([(6, 6)], 4)', 'pixel_color([(6, 8)], 4)', 'pixel_color([(8, 8)], 4)', 'pixel_color([(8, 6)], 4)', 'diagonal_line(self.temp_state, [(3, 4), (0, 7)], 7)', 'diagonal_line(self.temp_state, [(4, 5), (1, 8)], 7)']",10,True,"[[0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 7, 0, 0], [0, 4, 0, 4, 0, 7, 1, 7, 0], [0, 0, 2, 0, 0, 0, 7, 0, 0], [0, 4, 0, 4, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 8, 0, 0, 0], [0, 0, 0, 0, 0, 0, 4, 0, 4], [0, 6, 0, 0, 0, 0, 0, 2, 0], [0, 0, 0, 0, 0, 0, 4, 0, 4]]",10,"['pixel_color([(2, 1)], 4)', 'pixel_color([(4, 1)], 4)', 'pixel_color([(4, 3)], 4)', 'pixel_color([(2, 3)], 4)', 'pixel_color([(6, 6)], 4)', 'pixel_color([(6, 8)], 4)', 'pixel_color([(8, 8)], 4)', 'pixel_color([(8, 6)], 4)', 'diagonal_line(self.temp_state, [(3, 4), (0, 7)], 7)', 'diagonal_line(self.temp_state, [(4, 5), (1, 8)], 7)']"
E,11,0d3d703e.json,"['pixel_color', 'pixel_color', 'pixel_color', 'pixel_color', 'pixel_color', 'pixel_color', 'pixel_color', 'pixel_color', 'pixel_color', 'complete']","['pixel_color([(0, 0)], 9)', 'pixel_color([(1, 0)], 9)', 'pixel_color([(2, 0)], 9)', 'pixel_color([(0, 1)], 5)', 'pixel_color([(1, 1)], 5)', 'pixel_color([(2, 1)], 5)', 'pixel_color([(0, 2)], 4)', 'pixel_color([(1, 2)], 4)', 'pixel_color([(2, 2)], 4)', 'complete(self.temp_state)']",10,True,"[[9, 5, 4], [9, 5, 4], [9, 5, 4]]",9,"['pixel_color([(0, 0)], 9)', 'pixel_color([(1, 0)], 9)', 'pixel_color([(2, 0)], 9)', 'pixel_color([(0, 1)], 5)', 'pixel_color([(1, 1)], 5)', 'pixel_color([(2, 1)], 5)', 'pixel_color([(0, 2)], 4)', 'pixel_color([(1, 2)], 4)', 'pixel_color([(2, 2)], 4)']"
E,13,0e206a2e.json,"['diagonal_line', 'pixel_color', 'diagonal_line', 'vertical_line', 'diagonal_line', 'pixel_color', 'pixel_color', 'obj_color', 'obj_color', 'obj_color']","['diagonal_line(self.temp_state, [(11, 1), (15, 5)], 5)', 'pixel_color([(15, 3)], 5)', 'diagonal_line(self.temp_state, [(17, 9), (21, 13)], 5)', 'vertical_line(self.temp_state, [(20, 12), (17, 12)], 5)', 'diagonal_line(self.temp_state, [(18, 8), (21, 11)], 5)', 'pixel_color([(16, 11)], 5)', 'pixel_color([(17, 10)], 5)', 'obj_color(self.temp_state, object1, 0)', 'obj_color(self.temp_state, object2, 0)', 'obj_color(self.temp_state, object3, 0)']",10,True,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 2, 5, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 5, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 5, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 1, 5, 5, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 5, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]",10,"['diagonal_line(self.temp_state, [(11, 1), (15, 5)], 5)', 'pixel_color([(15, 3)], 5)', 'diagonal_line(self.temp_state, [(17, 9), (21, 13)], 5)', 'vertical_line(self.temp_state, [(20, 12), (17, 12)], 5)', 'diagonal_line(self.temp_state, [(18, 8), (21, 11)], 5)', 'pixel_color([(16, 11)], 5)', 'pixel_color([(17, 10)], 5)', 'obj_color(self.temp_state, object1, 0)', 'obj_color(self.temp_state, object2, 0)', 'obj_color(self.temp_state, object3, 0)']"
E,14,11852cab.json,"['pixel_color', 'pixel_color', 'pixel_color', 'complete']","['pixel_color([(4, 1)], 4)', 'pixel_color([(6, 3)], 4)', 'pixel_color([(4, 5)], 4)', 'complete(self.temp_state)']",4,True,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 4, 0, 1, 0, 0, 0, 0], [0, 0, 2, 0, 2, 0, 0, 0, 0, 0], [0, 4, 0, 1, 0, 4, 0, 0, 0, 0], [0, 0, 2, 0, 2, 0, 0, 0, 0, 0], [0, 1, 0, 4, 0, 1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]",3,"['pixel_color([(4, 1)], 4)', 'pixel_color([(6, 3)], 4)', 'pixel_color([(4, 5)], 4)']"
E,15,150deff5.json,"['horizontal_line', 'horizontal_line', 'vertical_line', 'horizontal_line', 'horizontal_line', 'horizontal_line', 'vertical_line', 'vertical_line', 'vertical_line', 'vertical_line']","['horizontal_line(self.temp_state, [(2, 0), (2, 4)], 2)', 'horizontal_line(self.temp_state, [(0, 4), (0, 8)], 2)', 'vertical_line(self.temp_state, [(0, 6), (4, 6)], 2)', 'horizontal_line(self.temp_state, [(4, 6), (4, 2)], 2)', 'horizontal_line(self.temp_state, [(0, 1), (0, 4)], 8)', 'horizontal_line(self.temp_state, [(1, 1), (1, 4)], 8)', 'vertical_line(self.temp_state, [(1, 4), (4, 4)], 8)', 'vertical_line(self.temp_state, [(1, 5), (4, 5)], 8)', 'vertical_line(self.temp_state, [(4, 5), (7, 5)], 8)', 'vertical_line(self.temp_state, [(4, 6), (7, 6)], 8)']",10,True,"[[0, 0, 8, 8, 0, 2, 2, 2, 0, 0, 0], [0, 0, 8, 8, 0, 0, 2, 0, 0, 0, 0], [0, 2, 2, 2, 8, 8, 2, 0, 0, 0, 0], [0, 0, 0, 0, 8, 8, 2, 0, 0, 0, 0], [0, 0, 0, 2, 2, 2, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 8, 8, 0, 0, 0, 0], [0, 0, 0, 0, 0, 8, 8, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]",10,"['horizontal_line(self.temp_state, [(2, 0), (2, 4)], 2)', 'horizontal_line(self.temp_state, [(0, 4), (0, 8)], 2)', 'vertical_line(self.temp_state, [(0, 6), (4, 6)], 2)', 'horizontal_line(self.temp_state, [(4, 6), (4, 2)], 2)', 'horizontal_line(self.temp_state, [(0, 1), (0, 4)], 8)', 'horizontal_line(self.temp_state, [(1, 1), (1, 4)], 8)', 'vertical_line(self.temp_state, [(1, 4), (4, 4)], 8)', 'vertical_line(self.temp_state, [(1, 5), (4, 5)], 8)', 'vertical_line(self.temp_state, [(4, 5), (7, 5)], 8)', 'vertical_line(self.temp_state, [(4, 6), (7, 6)], 8)']"
C,18,1b60fb0c.json,"['horizontal_line', 'vertical_line', 'pixel_color', 'pixel_color', 'complete']","['horizontal_line(self.temp_state, [(5, 4), (5, 0)], 2)', 'vertical_line(self.temp_state, [(8, 1), (2, 1)], 2)', 'pixel_color([(4, 2)], 2)', 'pixel_color([(5, 0)], 2)', 'complete(self.temp_state)']",5,True,"[[0, 0, 0, 0, 1, 0, 0, 0, 0, 0], [0, 0, 1, 1, 1, 1, 1, 0, 0, 0], [0, 0, 0, 0, 1, 1, 0, 0, 1, 0], [0, 2, 0, 0, 1, 0, 0, 0, 1, 0], [0, 2, 2, 0, 1, 1, 1, 1, 1, 1], [2, 2, 2, 2, 1, 1, 0, 1, 1, 0], [0, 2, 0, 0, 0, 1, 0, 0, 1, 0], [0, 2, 0, 0, 1, 1, 0, 0, 0, 0], [0, 0, 0, 1, 1, 1, 1, 1, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0, 0, 0]]",4,"['horizontal_line(self.temp_state, [(5, 4), (5, 0)], 2)', 'vertical_line(self.temp_state, [(8, 1), (2, 1)], 2)', 'pixel_color([(4, 2)], 2)', 'pixel_color([(5, 0)], 2)']"
E,20,1caeab9d.json,"['move_up', 'move_up', 'move_up', 'pixel_color', 'pixel_color', 'move_down', 'move_down', 'move_down', 'move_down', 'complete']","['move_up(self.temp_state, object5)', 'move_up(self.temp_state, object5)', 'move_up(self.temp_state, object5)', 'pixel_color([(7, 3)], 0)', 'pixel_color([(4, 3)], 4)', 'move_down(self.temp_state, object1)', 'move_down(self.temp_state, object1)', 'move_down(self.temp_state, object3)', 'move_down(self.temp_state, object3)', 'complete(self.temp_state)']",10,True,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 1, 1, 0, 4, 4, 0, 0, 2, 2], [0, 1, 1, 0, 4, 4, 0, 0, 2, 2], [1, 0, 0, 4, 0, 0, 0, 2, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]",9,"['move_up(self.temp_state, object5)', 'move_up(self.temp_state, object5)', 'move_up(self.temp_state, object5)', 'pixel_color([(7, 3)], 0)', 'pixel_color([(4, 3)], 4)', 'move_down(self.temp_state, object1)', 'move_down(self.temp_state, object1)', 'move_down(self.temp_state, object3)', 'move_down(self.temp_state, object3)']"
