task_id,try
0dfd9992,9
0dfd9992,53
0dfd9992,54
0dfd9992,88
3bdb4ada,3
3bdb4ada,10
3bdb4ada,30
3bdb4ada,39
3bdb4ada,99
c3f564a4,34
c3f564a4,51
c3f564a4,68
c3f564a4,77
025d127b,53
025d127b,63
dc433765,20
dc433765,22
dc433765,24
dc433765,38
dc433765,39
dc433765,41
dc433765,45
dc433765,49
dc433765,50
dc433765,53
dc433765,54
dc433765,61
dc433765,78
dc433765,83
dc433765,89
dc433765,98
d9fac9be,8
f5b8619d,79
c9e6f938,72
b1948b0a,11
b1948b0a,12
b1948b0a,52
b1948b0a,56
0dfd9992,88
0dfd9992,88
3bdb4ada,3
3bdb4ada,10
3bdb4ada,39
3bdb4ada,3
3bdb4ada,10
3bdb4ada,3
3bdb4ada,10
3bdb4ada,39
3bdb4ada,99
c3f564a4,51
025d127b,53
025d127b,63
dc433765,20
dc433765,22
dc433765,38
dc433765,41
dc433765,45
dc433765,49
dc433765,50
dc433765,53
dc433765,61
dc433765,78
dc433765,83
9dfd6313,22
9dfd6313,74
539a4f51,62
539a4f51,76
963e52fc,42
963e52fc,69
d2abd087,59
3618c87e,14
3618c87e,59
e26a3af2,6
e26a3af2,12
e26a3af2,33
e26a3af2,40
e26a3af2,43
e26a3af2,61
e26a3af2,63
e26a3af2,75
e26a3af2,89
e26a3af2,91
e26a3af2,92
794b24be,11
794b24be,49
794b24be,56
794b24be,83
d0f5fe59,19
d0f5fe59,45
d0f5fe59,49
d0f5fe59,79
d0f5fe59,87
6150a2bd,3
6150a2bd,5
6150a2bd,52
6150a2bd,64
25d8a9c8,1
25d8a9c8,53
25d8a9c8,70
25d8a9c8,82
9172f3a0,16
9172f3a0,21
9172f3a0,76
9172f3a0,83
9172f3a0,87
d8c310e9,9
d8c310e9,13
d8c310e9,17
d8c310e9,19
d8c310e9,76
d8c310e9,78
d8c310e9,87
d8c310e9,98
d8c310e9,99
d631b094,2
d631b094,6
d631b094,7
d631b094,15
d631b094,16
d631b094,18
d631b094,22
d631b094,24
d631b094,33
d631b094,37
d631b094,41
d631b094,44
d631b094,55
d631b094,58
d631b094,64
d631b094,65
d631b094,72
d631b094,74
d631b094,96
d631b094,97
1bfc4729,16
1bfc4729,25
1bfc4729,35
1bfc4729,53
1bfc4729,72
3bd67248,16
3bd67248,25
3bd67248,44
3bd67248,52
3bd67248,71
67a3c6ac,78
ef135b50,1
ef135b50,13
22eb0ac0,3
22eb0ac0,13
22eb0ac0,29
22eb0ac0,35
22eb0ac0,57
22eb0ac0,58
22eb0ac0,90
b8cdaf2b,14
b8cdaf2b,16
b8cdaf2b,18
b8cdaf2b,66
b8cdaf2b,68
b8cdaf2b,72
b8cdaf2b,78
b8cdaf2b,79
b8cdaf2b,84
b8cdaf2b,92
496994bd,6
496994bd,8
496994bd,14
496994bd,27
496994bd,28
496994bd,30
496994bd,32
496994bd,41
496994bd,79
496994bd,80
496994bd,83
97999447,30
97999447,43
97999447,79
97999447,86
c9f8e694,1
c9f8e694,62
c9f8e694,74
272f95fa,18
272f95fa,35
272f95fa,45
272f95fa,58
272f95fa,60
272f95fa,96
ba97ae07,2
ba97ae07,67
a85d4709,36
a85d4709,78
7f4411dc,8
7f4411dc,18
7f4411dc,41
7f4411dc,44
7f4411dc,50
7f4411dc,56
7f4411dc,58
7f4411dc,68
7f4411dc,72
7f4411dc,80
7f4411dc,81
7f4411dc,98
7f4411dc,99
5582e5ca,14
5582e5ca,27
5582e5ca,32
5582e5ca,36
5582e5ca,61
5582e5ca,89
5582e5ca,96
bdad9b1f,2
bdad9b1f,14
bdad9b1f,26
bdad9b1f,28
bdad9b1f,83
bdad9b1f,95
25ff71a9,49
25ff71a9,93
25ff71a9,96
a65b410d,20
a65b410d,40
a65b410d,44
a65b410d,61
a65b410d,93
6f8cd79b,23
6f8cd79b,36
6f8cd79b,53
6f8cd79b,57
6f8cd79b,66
6f8cd79b,84
6f8cd79b,89
82819916,43
82819916,81
82819916,82
