x_values,y_values,task_ids_list
0,83,"['017c7c7b' '025d127b' '08ed6ac7' '0dfd9992' '1bfc4729' '22eb0ac0'
 '239be575' '23b5c85d' '25d8a9c8' '25ff71a9' '272f95fa' '27a28665'
 '3618c87e' '3af2c5a8' '3bd67248' '3bdb4ada' '44f52bb0' '48d8fb45'
 '496994bd' '49d1d64f' '539a4f51' '53b68214' '5582e5ca' '5bd6f4ac'
 '6150a2bd' '62c24649' '67a3c6ac' '67e8384a' '68b16354' '6d0aefbc'
 '6f8cd79b' '6fa7a44f' '7447852a' '746b3537' '74dd1130' '7837ac64'
 '794b24be' '7b7f7511' '7f4411dc' '82819916' '88a62173' '8be77c9e'
 '8e1813be' '90c28cc7' '9172f3a0' '963e52fc' '97999447' '9dfd6313'
 'a416b8f3' 'a65b410d' 'a699fb00' 'a85d4709' 'a87f7484' 'aabf363d'
 'b1948b0a' 'b8cdaf2b' 'b94a9452' 'ba26e723' 'ba97ae07' 'bc1d5164'
 'bd4472b8' 'bda2d7a6' 'bdad9b1f' 'c3f564a4' 'c59eb873' 'c8f0f002'
 'c9e6f938' 'c9f8e694' 'd0f5fe59' 'd10ecb37' 'd13f3404' 'd2abd087'
 'd4469b4b' 'd631b094' 'd8c310e9' 'd9fac9be' 'dc433765' 'e26a3af2'
 'e9afcf9a' 'ea786f4a' 'ef135b50' 'f5b8619d' 'f76d97a5']"
1,62,"['017c7c7b', '08ed6ac7', '0dfd9992', '1bfc4729', '22eb0ac0', '239be575', '23b5c85d', '25d8a9c8', '25ff71a9', '272f95fa', '27a28665', '3af2c5a8', '3bdb4ada', '44f52bb0', '49d1d64f', '539a4f51', '53b68214', '5582e5ca', '5bd6f4ac', '6150a2bd', '62c24649', '67a3c6ac', '67e8384a', '68b16354', '6d0aefbc', '6fa7a44f', '746b3537', '7b7f7511', '82819916', '8be77c9e', '90c28cc7', '9172f3a0', '963e52fc', '97999447', '9dfd6313', 'a416b8f3', 'a699fb00', 'a87f7484', 'aabf363d', 'b1948b0a', 'b94a9452', 'ba97ae07', 'bc1d5164', 'bd4472b8', 'bda2d7a6', 'c3f564a4', 'c59eb873', 'c8f0f002', 'c9e6f938', 'c9f8e694', 'd0f5fe59', 'd10ecb37', 'd2abd087', 'd4469b4b', 'd631b094', 'd8c310e9', 'd9fac9be', 'e26a3af2', 'e9afcf9a', 'ef135b50', 'f5b8619d', 'f76d97a5']"
2,54,"['017c7c7b', '08ed6ac7', '0dfd9992', '22eb0ac0', '239be575', '23b5c85d', '25d8a9c8', '25ff71a9', '272f95fa', '27a28665', '3af2c5a8', '44f52bb0', '49d1d64f', '53b68214', '5582e5ca', '5bd6f4ac', '62c24649', '67a3c6ac', '67e8384a', '68b16354', '6d0aefbc', '6fa7a44f', '746b3537', '7b7f7511', '82819916', '8be77c9e', '90c28cc7', '9172f3a0', '963e52fc', '97999447', '9dfd6313', 'a416b8f3', 'a699fb00', 'a87f7484', 'aabf363d', 'b1948b0a', 'b94a9452', 'ba97ae07', 'bd4472b8', 'bda2d7a6', 'c3f564a4', 'c59eb873', 'c8f0f002', 'c9e6f938', 'c9f8e694', 'd10ecb37', 'd2abd087', 'd4469b4b', 'd631b094', 'd8c310e9', 'd9fac9be', 'e26a3af2', 'f5b8619d', 'f76d97a5']"
3,51,"['017c7c7b', '0dfd9992', '22eb0ac0', '239be575', '23b5c85d', '25d8a9c8', '25ff71a9', '272f95fa', '27a28665', '3af2c5a8', '44f52bb0', '49d1d64f', '53b68214', '5582e5ca', '5bd6f4ac', '62c24649', '67a3c6ac', '67e8384a', '68b16354', '6d0aefbc', '6fa7a44f', '746b3537', '7b7f7511', '82819916', '8be77c9e', '90c28cc7', '9172f3a0', '963e52fc', '97999447', '9dfd6313', 'a416b8f3', 'a699fb00', 'a87f7484', 'aabf363d', 'b1948b0a', 'ba97ae07', 'bd4472b8', 'bda2d7a6', 'c3f564a4', 'c59eb873', 'c8f0f002', 'c9e6f938', 'c9f8e694', 'd10ecb37', 'd4469b4b', 'd631b094', 'd8c310e9', 'd9fac9be', 'e26a3af2', 'f5b8619d', 'f76d97a5']"
4,47,"['0dfd9992', '22eb0ac0', '239be575', '23b5c85d', '25d8a9c8', '25ff71a9', '272f95fa', '27a28665', '3af2c5a8', '44f52bb0', '49d1d64f', '53b68214', '5582e5ca', '5bd6f4ac', '62c24649', '67a3c6ac', '67e8384a', '68b16354', '6d0aefbc', '6fa7a44f', '746b3537', '7b7f7511', '82819916', '8be77c9e', '90c28cc7', '9172f3a0', '963e52fc', '97999447', '9dfd6313', 'a416b8f3', 'a87f7484', 'b1948b0a', 'ba97ae07', 'bd4472b8', 'bda2d7a6', 'c3f564a4', 'c59eb873', 'c8f0f002', 'c9e6f938', 'c9f8e694', 'd10ecb37', 'd4469b4b', 'd631b094', 'd8c310e9', 'd9fac9be', 'e26a3af2', 'f76d97a5']"
5,44,"['0dfd9992', '22eb0ac0', '239be575', '23b5c85d', '25ff71a9', '272f95fa', '27a28665', '3af2c5a8', '44f52bb0', '49d1d64f', '53b68214', '5582e5ca', '5bd6f4ac', '62c24649', '67a3c6ac', '67e8384a', '68b16354', '6d0aefbc', '6fa7a44f', '746b3537', '7b7f7511', '82819916', '8be77c9e', '90c28cc7', '9172f3a0', '963e52fc', '97999447', '9dfd6313', 'a416b8f3', 'b1948b0a', 'ba97ae07', 'bd4472b8', 'bda2d7a6', 'c3f564a4', 'c59eb873', 'c8f0f002', 'c9e6f938', 'c9f8e694', 'd10ecb37', 'd4469b4b', 'd631b094', 'd9fac9be', 'e26a3af2', 'f76d97a5']"
6,43,"['0dfd9992', '22eb0ac0', '239be575', '23b5c85d', '25ff71a9', '272f95fa', '27a28665', '3af2c5a8', '44f52bb0', '49d1d64f', '53b68214', '5582e5ca', '5bd6f4ac', '62c24649', '67a3c6ac', '67e8384a', '68b16354', '6d0aefbc', '6fa7a44f', '746b3537', '7b7f7511', '82819916', '8be77c9e', '90c28cc7', '9172f3a0', '963e52fc', '97999447', 'a416b8f3', 'b1948b0a', 'ba97ae07', 'bd4472b8', 'bda2d7a6', 'c3f564a4', 'c59eb873', 'c8f0f002', 'c9e6f938', 'c9f8e694', 'd10ecb37', 'd4469b4b', 'd631b094', 'd9fac9be', 'e26a3af2', 'f76d97a5']"
7,40,"['0dfd9992', '22eb0ac0', '239be575', '23b5c85d', '25ff71a9', '272f95fa', '44f52bb0', '49d1d64f', '53b68214', '5582e5ca', '5bd6f4ac', '62c24649', '67a3c6ac', '67e8384a', '68b16354', '6d0aefbc', '6fa7a44f', '746b3537', '7b7f7511', '82819916', '8be77c9e', '90c28cc7', '9172f3a0', '963e52fc', '97999447', 'a416b8f3', 'b1948b0a', 'ba97ae07', 'bd4472b8', 'bda2d7a6', 'c3f564a4', 'c59eb873', 'c8f0f002', 'c9f8e694', 'd10ecb37', 'd4469b4b', 'd631b094', 'd9fac9be', 'e26a3af2', 'f76d97a5']"
8,39,"['0dfd9992', '22eb0ac0', '239be575', '23b5c85d', '25ff71a9', '272f95fa', '44f52bb0', '53b68214', '5582e5ca', '5bd6f4ac', '62c24649', '67a3c6ac', '67e8384a', '68b16354', '6d0aefbc', '6fa7a44f', '746b3537', '7b7f7511', '82819916', '8be77c9e', '90c28cc7', '9172f3a0', '963e52fc', '97999447', 'a416b8f3', 'b1948b0a', 'ba97ae07', 'bd4472b8', 'bda2d7a6', 'c3f564a4', 'c59eb873', 'c8f0f002', 'c9f8e694', 'd10ecb37', 'd4469b4b', 'd631b094', 'd9fac9be', 'e26a3af2', 'f76d97a5']"
9,38,"['0dfd9992', '22eb0ac0', '239be575', '23b5c85d', '25ff71a9', '272f95fa', '44f52bb0', '53b68214', '5582e5ca', '5bd6f4ac', '62c24649', '67a3c6ac', '67e8384a', '68b16354', '6d0aefbc', '6fa7a44f', '746b3537', '7b7f7511', '8be77c9e', '90c28cc7', '9172f3a0', '963e52fc', '97999447', 'a416b8f3', 'b1948b0a', 'ba97ae07', 'bd4472b8', 'bda2d7a6', 'c3f564a4', 'c59eb873', 'c8f0f002', 'c9f8e694', 'd10ecb37', 'd4469b4b', 'd631b094', 'd9fac9be', 'e26a3af2', 'f76d97a5']"
