task_id,correct_flag
017c7c7b,0.028
025d127b,0.0
08ed6ac7,0.018
0dfd9992,0.2
1bfc4729,0.01
22eb0ac0,0.102
239be575,0.408
23b5c85d,0.166
25d8a9c8,0.034
25ff71a9,0.058
272f95fa,0.126
27a28665,0.062
3618c87e,0.0
3af2c5a8,0.038
3bd67248,0.0
3bdb4ada,0.004
44f52bb0,0.53
48d8fb45,0.0
496994bd,0.0
49d1d64f,0.098
539a4f51,0.026
53b68214,0.382
5582e5ca,0.526
5bd6f4ac,0.13
6150a2bd,0.01
62c24649,0.248
67a3c6ac,0.118
67e8384a,0.32
68b16354,0.754
6d0aefbc,0.32
6f8cd79b,0.008
6fa7a44f,0.96
7447852a,0.002
746b3537,0.608
74dd1130,0.0
7837ac64,0.0
794b24be,0.0
7b7f7511,0.398
7f4411dc,0.002
82819916,0.076
88a62173,0.0
8be77c9e,0.892
8e1813be,0.0
90c28cc7,0.088
9172f3a0,0.2
963e52fc,0.506
97999447,0.206
9dfd6313,0.038
a416b8f3,0.806
a65b410d,0.0
a699fb00,0.032
a85d4709,0.012
a87f7484,0.04
aabf363d,0.02
b1948b0a,0.758
b8cdaf2b,0.0
b94a9452,0.024
ba26e723,0.0
ba97ae07,0.078
bc1d5164,0.004
bd4472b8,0.174
bda2d7a6,0.244
bdad9b1f,0.0
c3f564a4,0.514
c59eb873,0.318
c8f0f002,0.804
c9e6f938,0.068
c9f8e694,0.212
d0f5fe59,0.002
d10ecb37,0.814
d13f3404,0.0
d2abd087,0.004
d4469b4b,0.502
d631b094,0.22
d8c310e9,0.044
d9fac9be,0.198
dc433765,0.0
e26a3af2,0.284
e9afcf9a,0.01
ea786f4a,0.0
ef135b50,0.02
f5b8619d,0.016
f76d97a5,0.206
